FID,UID,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MUNICIPAL,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,CAF,EPOI_TYPE,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,LONGITUDE,LATITUDE,PREC_CODE,ATTRIBCODE,STATUS,COMM_NAME,GRP_IND,ELEVATION,ACCURACY,ACQ_TECH,x,y
11,0168DDF1-0639-4B81-9832-8EFBC8985E28,POI10175825,TUSAQTUUT, ,208 SINAA RD, ,IQALUIT,IQALUIT,NU, , ,867-979-2234, , , , , ,86410000,00000000,00000000,00000000,00000000,00000000,92115,00000,00000,00000,00000,86,I,-68.513118,63.743186,4,2, , , ,2.006,100,6,-68.5131180002954,63.7431860000339
12,AEBAD3DF-42CE-4657-BF42-ED2AB478782E,POI10175826,ARCTIC TERN ACCOUNTING, , , ,HAY RIVER,HAY RIVER,NT, , ,867-874-2041, , , , , ,87210000,00000000,00000000,00000000,00000000,00000000,541219,00000,00000,00000,00000,87,I,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
13,E7A005B5-D97B-4A83-B878-87A553DBFBC0,POI10175850,THE LITTLE BROWN HOUSE, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-766-2074, , , , , ,65130000,70110000,00000000,00000000,00000000,00000000,53111,721191,00000,00000,00000,65,H,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
14,95482DFA-AD61-440D-8D78-84ED86B4D8A9,POI10175851,FORT RESOLUTION METIS COUNCIL - METIS CULTURAL INSTITUTE, , , ,FORT RESOLUTION,FORT RESOLUTION,NT,X0E0M0, ,867-394-5406, , , , , ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-113.673764,61.172054,8,2, , , ,156.999,-1,12,-113.673763999909,61.1720540000921
15,8B732C2D-03C2-4CB7-AE3F-B2AB24F243EF,POI10175852,KAKIVAK ASSOC - FAX ONLY, , , ,SANIKILUAQ,SANIKILUAQ,NU,X0A0W0, ,867-266-8839, , , , , ,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000,86,I,-79.222418,56.540775,8,2, , , ,3,-1,12,-79.2224180003903,56.540775000366
16,12160417-B7D9-4E3E-9B4E-C9E560560149,POI10175853,INUIT COMMUNICATIONS SYSTEMS LTD, ,BLDG 1085 A, ,IQALUIT,IQALUIT,NU, , ,867-979-1661, , , , , ,36510000,00000000,00000000,00000000,00000000,00000000,33431,00000,00000,00000,00000,36,D,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
17,EB09CF17-BE46-4619-BB64-22B8A4CA56D6,POI10175854,ALANCO HOLDINGS LTD, ,8 HORDAL RD, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3E1, ,867-445-1692, ,866-227-7745, , , ,50440000,00000000,00000000,00000000,00000000,00000000,52211,00000,00000,00000,00000,50,F,-114.4172419,62.4362256,2,2, , , ,189.361,25,6,-114.417241899994,62.4362255998316
18,72AD78E6-7FB1-46AC-9998-5A294D4AA3DB,POI10175855,NORTHWIND COLLISIONS & AUTO BODY REPAIR, ,61 INDUSTRIAL RD, ,INUVIK,INUVIK,NT,X0E0T0, ,867-678-2950,867-678-2951, , , , ,75320000,75380000,00000000,00000000,00000000,00000000,811121,811111,00000,00000,00000,75,I,-133.749925,68.37612,2,2, , , ,12.001,25,6,-133.749924999839,68.3761199996383
19,F468AD70-62DB-4B41-9828-93996EB4FAAB,POI10175865,AUTOMASTER, ,1 CORONATION DR,PO Box 130,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3Y2, ,867-873-2886,867-873-2868, , ,ADD832578, ,75380000,00000000,00000000,00000000,00000000,00000000,811111,00000,00000,00000,00000,75,I,-114.40969,62.432216,2,2, , , ,181.206,25,6,-114.409689999594,62.4322160003682
20,4CA56D23-AC71-4762-9CE1-D85EFD1987E6,POI10175866,MC AUTOMOTIVE, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-765-8961, , , , , ,75380000,00000000,00000000,00000000,00000000,00000000,811111,00000,00000,00000,00000,75,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
21,A16F1EAE-EB20-4A1A-8836-47056457132A,POI10175874,UPPER BASE GARAGE LTD, , , ,IQALUIT,IQALUIT,NU, , ,867-979-8822, , , , , ,75380000,00000000,00000000,00000000,00000000,00000000,811111,00000,00000,00000,00000,75,I,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
22,2B0F4513-60FB-4950-BBAA-CB608A923DAD,POI10175875,KIVALLIQ AVIATION LTD, , , ,RANKIN INLET,RANKIN INLET,NU,X0C0G0, ,867-645-4274, , , , , ,45810000,00000000,00000000,00000000,00000000,00000000,488119,00000,00000,00000,00000,45,E,-92.122869,62.829088,8,2, , , ,11.998,-1,12,-92.1228689999044,62.8290880001112
23,6261315E-433F-4FBF-AF69-369FF6E8EAEA,POI10175876,ELLE HAIR SALON, , , ,HAY RIVER,HAY RIVER,NT, , ,867-874-4247, , , , , ,72310000,00000000,00000000,00000000,00000000,00000000,812112,00000,00000,00000,00000,72,I,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
24,E7263EC0-C041-479C-88B8-3A5BEA0730F9,POI10175881,FRONTIER COACHLINES NWT - TICKETS,8,UNIT 8 LOWER LEVEL MONKEY TREE MALL, ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-444-8052, ,866-579-2566, , , ,75190000,00000000,00000000,00000000,00000000,00000000,53212,00000,00000,00000,00000,75,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
25,9E281C25-3504-4873-AA7A-E614ACB3359A,POI10175898,KING'S ADDITION BAPTIST MISSION, , , ,FORT SMITH,FORT SMITH,NT,X0E0P0, ,867-872-2418, , , , , ,86610000,00000000,00000000,00000000,00000000,00000000,81311,00000,00000,00000,00000,86,I,-111.8919,60.012064,8,2, , , ,200.989,-1,12,-111.891899999885,60.0120640003534
26,8C3760E7-E086-41F8-9CC8-FAF3EFFC3F37,POI10175899,TAYLOR MAIDS INC, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-669-7307, , , , , ,72110000,00000000,00000000,00000000,00000000,00000000,81232,00000,00000,00000,00000,72,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
27,26EAB09F-6A71-4201-9D99-7C301B409630,POI10175919,CANUCK CONCRETE PUMPING, ,157 MAGRUM CRES, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3V8, ,867-444-9519,867-873-9517, , , , ,17710000,00000000,00000000,00000000,00000000,00000000,23571,00000,00000,00000,00000,17,C,-114.4206466,62.4560352,2,2, , , ,200.985,25,6,-114.42064660016,62.4560352003643
28,4F4DC264-8AE6-4913-BC78-828339F33226,POI10175920,J SQUARED CONCRETE & RENO'S, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-445-5091, , , , , ,17710000,15210000,00000000,00000000,00000000,00000000,23571,23321,00000,00000,00000,17,C,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
29,00762C91-59EC-4E85-A8B9-AD57C01851AD,POI10175932,ARCTIC CANADA CONSTRUCTION, , , ,INUVIK,INUVIK,NT,X0E0T0, ,867-777-3532, , , , , ,15210000,17610000,00000000,00000000,00000000,00000000,23321,23561,00000,00000,00000,15,C,-133.690613,68.354382,8,2, , , ,11.453,-1,12,-133.69061300039,68.3543819999294
30,B0F630D5-CCB1-450A-BECE-DACE16AC4DB2,POI10175933,ARCTIC CANADA CONSTRUCTION LTD, , , ,FORT SIMPSON,FORT SIMPSON,NT,X0E0N0, ,867-695-2924, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-121.347627,61.861763,8,2, , , ,122,-1,12,-121.347626999586,61.8617629998626
31,E9C10902-56A2-4275-8C33-A015E8F471F0,POI10175935,DOWLAND CONTRACTING/MGK CAMP, , , ,INUVIK,INUVIK,NT,X0E0T0, ,867-777-4340, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-133.690613,68.354382,8,2, , , ,11.453,-1,12,-133.69061300039,68.3543819999294
32,4E33457B-4CD0-4720-B6D9-480245CD1101,POI10175939,LARRY & SONS CONSTRUCTION, , , ,ARVIAT,ARVIAT,NU,X0C0E0, ,867-857-2112, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-94.07189,61.095587,8,2, , , ,9.006,-1,12,-94.0718900003232,61.0955870000401
33,68E88EE1-F1AD-48B6-80F5-73EA8FF961D8,POI10175940,LEGGE CARPENTRY, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-445-2590, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
34,1DDC5C19-34AB-470A-A551-295F13EDD64E,POI10175941,MURPHY CONSTRUCTION, ,5026 FORREST DR, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A2A9, ,867-766-4886, , , , , ,15210000,17710000,00000000,00000000,00000000,00000000,23321,23571,23561,00000,00000,15,C,-114.3851028,62.4459399,1,2, , , ,197.281,25,5,-114.385102800154,62.4459399003062
35,A1315799-CE87-420E-8A1B-750E55A286CB,POI10175942,NAHANNI NUNAVUT CONSTRUCTION LTD, , , ,RANKIN INLET,RANKIN INLET,NU,X0C0G0, ,867-645-4303, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-92.122869,62.829088,8,2, , , ,11.998,-1,12,-92.1228689999044,62.8290880001112
36,DC9C0402-5DB4-4AE5-A3EE-C1C08E4D4378,POI10175943,NEXTREME, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-446-1887, , , , , ,15210000,33120000,00000000,00000000,00000000,00000000,23321,331111,48411,81131,00000,15,C,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
37,E9756CFC-6744-4739-A1A6-63E00780EE69,POI10175944,PC CONSTRUCTION LTD,UNIT 205,7 COUNCIL CRES, ,INUVIK,INUVIK,NT,X0E0T0, ,867-678-2330, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-133.715703,68.355344,2,2, , , ,21.767,25,6,-133.715702999993,68.3553440002255
38,F18ACD24-6057-4C1D-82F3-AF4FDFEAFB21,POI10175945,SUMMIT CONSTRUCTORS LTD, ,9925 102ND AVE, ,FORT SIMPSON,FORT SIMPSON,NT,X0E0N0, ,867-695-2559, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-121.361526,61.8665735,5,2, , , ,122.001,100,12,-121.361526000225,61.8665734995674
39,94D9B0B2-411F-43DA-87CE-8D803DFCC27C,POI10175965,WEITZELS CONSTRUCTION LTD, , , ,AKLAVIK,AKLAVIK,NT,X0E0A0, ,867-978-2031, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-134.998551,68.220102,8,2, , , ,6,-1,12,-134.998550999629,68.2201020003071
40,C17F2C4E-B17D-46B9-99ED-B7508787630F,POI10175966,WIND DANCER CONTRACTING LTD, , , ,HAY RIVER,HAY RIVER,NT, , ,867-874-4324, , , , , ,15210000,00000000,00000000,00000000,00000000,00000000,23321,00000,00000,00000,00000,15,C,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
41,40547BFF-C949-4708-A7F5-4761E1B35DA7,POI10175967,KEYA CONVENIENCE STORE & CLOTHING, ,UPST 5016 50TH ST, ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-920-7178, , , ,ADD948935, ,54110000,00000000,00000000,00000000,00000000,00000000,44512,00000,00000,00000,00000,54,G,-114.3709055,62.4531892,2,2, , ,POI6135904,189.11,25,6,-114.370905499789,62.4531892004213
42,72778470-ACBB-444F-93A1-C16AE73ADAEF,POI10175968,HATLEVIK ELLEN (MARY KAY COSMETICS), , , ,CAMBRIDGE BAY,CAMBRIDGE BAY,NU,X0B0C0, ,867-983-2714, , , , , ,59990000,00000000,00000000,00000000,00000000,00000000,44612,00000,00000,00000,00000,59,G,-105.059775,69.114956,8,2, , , ,3.001,-1,12,-105.059774999716,69.1149560004191
43,B21FDC39-5A58-46ED-B88F-630763F66F6F,POI10175969,IVY'S FAMILY DAY HOME, ,1013 WILLIAMS AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT,X1A3P1, ,867-669-9263, , , , , ,83510000,00000000,00000000,00000000,00000000,00000000,62441,00000,00000,00000,00000,83,I,-114.4123531,62.442334,5,2, , , ,196.014,50,6,-114.412353087325,62.4423340164018
44,BB81FEA5-3DA8-40FB-BE21-60ED9D4C3B57,POI10176008,HAY RIVER COUNCIL FOR PERSONS WITH DISABILITIES, ,SUITE 1-8 GAGNIER ST, ,HAY RIVER,HAY RIVER,NT, , ,867-874-2196, , , , , ,83610000,00000000,00000000,00000000,00000000,00000000,62399,00000,00000,00000,00000,83,I,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
45,A91187CA-3264-492A-9B11-8B1BAC079798,POI10176009,NUNAVUMMI DISABILITIES MAKINNASUQTIT SOCIETY (NDMS), , , ,IQALUIT,IQALUIT,NU, , ,867-979-2228, , , , , ,83610000,00000000,00000000,00000000,00000000,00000000,62399,00000,00000,00000,00000,83,I,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
46,9A85ACDB-85FB-4E6C-9712-B8C1B32D2A8F,POI10176015,EDUCATIONAL & TECHNOLOGICAL, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-766-2074, , , , , ,82990000,00000000,00000000,00000000,00000000,00000000,61171,00000,00000,00000,00000,82,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
47,CD3B76D7-D5C2-416B-8CB2-65635E572078,POI10176016,ILLNIK ELECTRIC, , , ,ARVIAT,ARVIAT,NU,X0C0E0, ,867-857-4500, , , , , ,17310000,00000000,00000000,00000000,00000000,00000000,23531,00000,00000,00000,00000,17,C,-94.07189,61.095587,8,2, , , ,9.006,-1,12,-94.0718900003232,61.0955870000401
48,5F8928C2-9466-439B-A710-230E83DF7848,POI10176019,NORTHLAND UTILITIES (NWT) LIMITED, , , ,HAY RIVER,HAY RIVER,NT, , ,867-874-6829, , , , , ,49110000,00000000,00000000,00000000,00000000,00000000,221112,00000,00000,00000,00000,49,E,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
49,136B1660-8A6C-44C1-B79B-ACCA3266B6CB,POI10176029,NORTHTECH CONSULTANTS INC, ,BLDG 1831, ,IQALUIT,IQALUIT,NU, , ,867-979-4367, , , , , ,87110000,00000000,00000000,00000000,00000000,00000000,54133,00000,00000,00000,00000,87,I,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
50,408F4A69-A8A6-4F41-883F-6D91BE8E8A03,POI10176030,KIVALLIQ EXPEDITING & STORAGE INC, ,208 NAPPIQ ST, ,RANKIN INLET,RANKIN INLET,NU,X0C0A1, ,867-645-2400, , , , , ,47310000,42250000,00000000,00000000,00000000,00000000,48851,49311,00000,00000,00000,47,E,-92.0932418,62.8151349,1,2, , , ,15.999,25,6,-92.093241800069,62.8151348998558
51,9E4F3AD8-9159-4D92-8225-F740DF881487,POI10176031,HAY RIVER POULTRY FARMS LTD, , , ,HAY RIVER,HAY RIVER,NT, , ,867-874-2212, , , , , ,01910000,00000000,00000000,00000000,00000000,00000000,111998,00000,00000,00000,00000,01,A,-115.779646,60.824059,8,2, , , ,160.215,-1,12,-115.779645999863,60.8240589997231
52,A1EC5ADF-687B-495E-82E6-3B27B316BADC,POI10176037,MIDNIGHT PETROLEUM - CELL NUMBER, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-875-7447, , , , , ,51710000,00000000,00000000,00000000,00000000,00000000,42271,00000,00000,00000,00000,51,F,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
53,B898A0F2-2D2E-40A7-8E80-FA706554406C,POI10176038,MIDNIGHT PETROLEUM - CELL NUMBER, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-444-4564, , , , , ,51710000,00000000,00000000,00000000,00000000,00000000,42271,00000,00000,00000,00000,51,F,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
54,6F6A1FB3-7A62-495C-9F21-5AE3F6F102D9,POI10176039,BAFFIN GAS LTD, , , ,IQALUIT,IQALUIT,NU, , ,867-979-5739, , , , , ,49230000,00000000,00000000,00000000,00000000,00000000,22121,00000,00000,00000,00000,49,E,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
55,23A11111-BB13-499C-81C3-7CF7536590F5,POI10176042,QIKIQTANI OUTFITTERS, ,15 BLDG 812, ,IQALUIT,IQALUIT,NU, , ,867-979-6606, , , , , ,09710000,00000000,00000000,00000000,00000000,00000000,11421,00000,00000,00000,00000,97,J,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
56,4B126876-7450-457D-8DB3-553D6F0D673C,POI10176043,YELLOWKNIFE OUTDOOR ADVENTURES, ,3603 50TH AVE, ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-873-5800, , , , , ,09710000,00000000,00000000,00000000,00000000,00000000,11421,00000,00000,00000,00000,97,J,-114.3499681,62.4640188,2,2, , , ,158.146,25,6,-114.349968099948,62.464018799628
57,2EF0A575-3A67-4569-B203-4E39EBEF37E1,POI10176044,NWT HIV & HEPATITIS C SUPPORT NETWORK, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-669-7880, , , , , ,94310000,00000000,00000000,00000000,00000000,00000000,92312,00000,00000,00000,00000,94,J,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
58,BEB2BE3E-30E6-4555-8D9B-A884A1A37F80,POI10176045,C11 HOLDINGS LTD, , , ,INUVIK,INUVIK,NT,X0E0T0, ,867-777-4100, , , , , ,67190000,00000000,00000000,00000000,00000000,00000000,551112,00000,00000,00000,00000,67,H,-133.690613,68.354382,8,2, , , ,11.453,-1,12,-133.69061300039,68.3543819999294
59,D686359B-5B5C-433F-9EBE-1E6E865B5B9D,POI10176046,PERDON HOLDINGS, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-766-3106, , , , , ,67190000,00000000,00000000,00000000,00000000,00000000,551112,00000,00000,00000,00000,67,H,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
60,ED5C921F-9D58-4D9D-A9B7-37B78FE34C30,POI10176047,SARLIAQ HOLDINGS LTD, , , ,RANKIN INLET,RANKIN INLET,NU,X0C0G0, ,867-645-2653, , , , , ,67190000,00000000,00000000,00000000,00000000,00000000,551112,00000,00000,00000,00000,67,H,-92.122869,62.829088,8,2, , , ,11.998,-1,12,-92.1228689999044,62.8290880001112
61,CEF29906-1D62-4F04-B70A-ED7BB4FD8FBB,POI10176049,NUNATTAQ SUITES - RESERVATIONS, , , ,IQALUIT,IQALUIT,NU, , ,867-979-2221, , , , , ,70110000,00000000,00000000,00000000,00000000,00000000,72111,00000,00000,00000,00000,70,I,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
62,1EE85C74-B5BB-4CB7-B07A-EAD8EBB74EAD,POI10176059,A&R JANITORIAL CLEANING, , , ,CAMBRIDGE BAY,CAMBRIDGE BAY,NU,X0B0C0, ,867-983-3888, , , , , ,73490000,00000000,00000000,00000000,00000000,00000000,56172,00000,00000,00000,00000,73,I,-105.059775,69.114956,8,2, , , ,3.001,-1,12,-105.059774999716,69.1149560004191
63,07C68D2E-E935-4DC5-B7A0-C1F53435C330,POI10176060,STEAM SHEEN LTD, , , ,INUVIK,INUVIK,NT,X0E0T0, ,867-777-4749, , , , , ,73490000,00000000,00000000,00000000,00000000,00000000,56172,00000,00000,00000,00000,73,I,-133.690613,68.354382,8,2, , , ,11.453,-1,12,-133.69061300039,68.3543819999294
64,5A734AE8-0DDA-47C8-9188-31CED3AC4ED7,POI10176061,QIMMIQ KENNELS, ,140 CURRY DRIVE KAM LAKE, ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-766-2345, , , , , ,07520000,00000000,00000000,00000000,00000000,00000000,81291,00000,00000,00000,00000,75,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
65,8739902B-23BD-4381-ABFD-8AD745AC0672,POI10176062,JMS, ,97 TALTHEILEI DR, ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-445-2854, , , , , ,07820000,00000000,00000000,00000000,00000000,00000000,56173,00000,00000,00000,00000,78,I,-114.43215,62.43513,5,2, , , ,188.354,100,12,-114.432150000222,62.4351299998497
66,EAC0E8F7-03B2-4E03-94D2-C4B6E873A2DD,POI10176064,PACE COUNSELLING SERVICE INC, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-669-7141, , , , , ,83220000,00000000,00000000,00000000,00000000,00000000,62419,00000,00000,00000,00000,83,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
67,D35FE500-0829-4E40-997B-0D6EF5CA6FCC,POI10176065,LAWLOR MECHANICAL & D&L MAINTENANCE, , , ,IQALUIT,IQALUIT,NU, , ,867-979-8691, , , , , ,17110000,00000000,00000000,00000000,00000000,00000000,23511,00000,00000,00000,00000,17,C,-68.516967,63.746693,8,2, , , ,10.118,-1,12,-68.5169669997272,63.7466929998821
68,84932651-723A-4138-A291-FAB4532FAEC1,POI10176066,MIRAMAR NORTHERN MINING LTD-CON MINE, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-766-5311, , , , , ,10990000,00000000,00000000,00000000,00000000,00000000,212299,00000,00000,00000,00000,10,B,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
69,5724746A-8F36-4E95-9D72-75FF35F96DEC,POI10176067,MUSIC NWT, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-873-5577, , , , , ,79290000,00000000,00000000,00000000,00000000,00000000,71113,00000,00000,00000,00000,79,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
